State,Year,Total # Polled,Percent Ages 12-17,Percent Ages 18-25,Percent Ages 26+,Percent Ages 18+
Indiana,2016,"2,774",1.8024513340000001,15.93366979,82.26387888,98.19754867
Indiana,2017,"2,755",1.8148820330000002,16.11615245,82.06896552,98.18511797
Iowa,2013,"1,470",2.040816327,16.05442177,81.90476190000001,97.95918367
Iowa,2014,"1,445",1.7993079580000002,16.67820069,81.52249135,98.20069204
Iowa,2015,"1,451",1.72294969,16.33356306,81.94348725,98.27705031
Iowa,2016,"1,494",1.539491299,15.6626506,82.79785809999998,98.4605087
Iowa,2017,"1,527",1.571709234,15.25867714,83.16961362,98.42829077
Kansas,2013,"1,253",2.154828412,15.2434158,82.60175579,97.84517159
Kansas,2014,"1,264",2.136075949,15.82278481,82.12025316,97.86392405
Kansas,2015,"1,241",2.014504432,15.71313457,82.272361,97.98549557
Kansas,2016,"1,314",1.8264840180000002,14.61187215,83.48554033,98.09741248
Kansas,2017,"1,358",1.76730486,14.21207658,83.94698085,98.15905744
Kentucky,2013,"1,607",2.115743622,16.24144368,81.64281269,97.88425638
Kentucky,2014,"1,548",2.002583979,16.73126615,81.26614987,98.0620155
Kentucky,2015,"1,560",1.794871795,15.38461538,82.88461538,98.20512821
Kentucky,2016,"1,505",2.126245847,15.88039867,81.99335548,97.87375415
Kentucky,2017,"1,470",2.3809523809999997,15.71428571,81.90476190000001,97.61904762
Louisiana,2013,"1,825",2.630136986,16.0,81.36986301,97.36986301
Louisiana,2014,"1,860",2.419354839,15.64516129,81.93548387,97.58064516
Louisiana,2015,"1,906",2.098635887,15.58237146,82.31899265,97.90136411
Louisiana,2016,"1,927",2.023871303,14.53035807,83.44577063,97.9761287
Louisiana,2017,"1,922",1.9250780440000002,13.891779399999999,84.18314256,98.02289282
Maine,2013,627,1.9138755980000002,13.23763955,84.84848485,98.0861244
Maine,2014,679,1.620029455,12.51840943,85.86156112,98.37997054
Maine,2015,696,1.724137931,12.06896552,86.35057471,98.27586207
Maine,2016,657,1.6742770169999999,12.32876712,85.99695586,98.32572298
Maine,2017,649,1.540832049,12.32665639,86.13251156,98.45916795
Maryland,2013,"2,876",2.121001391,14.22114047,83.62308762,97.87899861
Maryland,2014,"2,883",1.97710718,13.83975026,84.18314256,98.02289282
Maryland,2015,"2,921",1.8829168090000001,13.42006162,84.69702157,98.11708319
Maryland,2016,"2,807",1.5675097969999998,13.71571072,84.71677948,98.4324902
Maryland,2017,"2,689",1.599107475,13.38787653,85.05020454,98.40089253
Massachusetts,2013,"3,682",1.928299837,14.80173819,83.26996198,98.07170016
Massachusetts,2014,"3,566",1.822770611,15.39540101,82.78182838,98.17722939
Massachusetts,2015,"3,357",1.787310098,16.23473339,81.97795651,98.21268990000002
Massachusetts,2016,"3,453",1.59281784,15.95713872,82.45004344,98.40718216
Massachusetts,2017,"3,605",1.719833564,15.50624133,82.80166436,98.30790569
Michigan,2013,"4,546",2.287725473,15.4641443,82.24813022,97.71227453
Michigan,2014,"4,558",2.018429136,15.42343133,82.55813953,97.98157086
Michigan,2015,"4,517",1.859641355,14.98782378,83.15253487,98.14035865
Michigan,2016,"4,472",1.811270125,14.75849732,83.43023256,98.18872987
Michigan,2017,"4,482",1.8518518519999998,14.45783133,83.66800535,98.14814815
Midwest,2013,"30,964",2.173491797,15.21121302,82.61529518,97.8265082
Midwest,2014,"31,066",1.9603424969999999,15.06791991,82.97173759,98.03965749999999
Midwest,2015,"30,747",1.795297102,14.93479039,83.26666016,98.20145055
Midwest,2016,"30,827",1.699808609,14.76952023,83.52742726,98.29694748
Midwest,2017,"30,919",1.733561888,14.43449012,83.83194799,98.26643811
Minnesota,2013,"2,642",1.930355791,14.00454201,84.10295231,98.06964421
Minnesota,2014,"2,660",1.6917293230000001,13.90977444,84.39849624,98.30827068
Minnesota,2015,"2,709",1.698043559,13.842746400000001,84.45921004,98.30195644
Minnesota,2016,"2,738",1.607012418,13.91526662,84.47772096,98.39298758
Minnesota,2017,"2,683",1.5654118519999998,14.01416325,84.38315319,98.39731644
Mississippi,2013,"1,036",2.7992277989999996,18.53281853,78.76447876,97.2007722
Mississippi,2014,"1,025",2.341463415,17.36585366,80.19512195,97.65853659
Mississippi,2015,965,2.176165803,16.37305699,81.34715026,97.72020725
Mississippi,2016,903,2.104097453,17.16500554,80.84163898,97.89590255
Mississippi,2017,935,2.032085561,15.40106952,82.67379679,98.07486631
Missouri,2013,"2,584",2.283281734,15.40247678,82.31424149,97.71671827
Missouri,2014,"2,554",1.996867659,15.42678152,82.53719655,97.96397807
Missouri,2015,"2,562",1.795472287,15.22248244,83.02107728,98.20452771
Missouri,2016,"2,602",1.806302844,14.79631053,83.39738663,98.23212913
Missouri,2017,"2,587",1.9713954390000001,13.91573251,84.15152687,98.06725937
Montana,2013,506,1.976284585,14.42687747,83.59683794,98.02371542
Montana,2014,499,1.603206413,14.42885772,83.76753507,98.19639279
Montana,2015,499,1.402805611,13.82765531,84.76953908,98.59719439
Montana,2016,500,1.6,13.8,84.6,98.4
Montana,2017,505,1.98019802,14.05940594,84.15841584,98.21782178
Nebraska,2013,855,1.988304094,15.32163743,82.69005848,98.01169591
Nebraska,2014,875,1.8285714290000001,15.54285714,82.74285714,98.28571429
Nebraska,2015,886,1.467268623,15.01128668,83.40857788,98.41986456
Nebraska,2016,915,1.530054645,14.53551913,83.93442623,98.46994536
Nebraska,2017,913,1.752464403,14.67688938,83.57064622,98.24753559999999
Nevada,2013,"1,255",2.231075697,13.38645418,84.30278884,97.68924303
Nevada,2014,"1,277",2.349256069,13.15583399,84.49490995,97.5724354
Nevada,2015,"1,259",2.382843527,13.02621128,84.59094519,97.61715647
Nevada,2016,"1,237",2.263540825,12.36863379,85.36782538,97.73645918
Nevada,2017,"1,195",1.841004184,11.88284519,86.19246862,98.15899582
New Hampshire,2013,740,2.027027027,13.91891892,84.18918919,97.97297297
New Hampshire,2014,734,2.04359673,13.6239782,84.46866485,98.09264305
New Hampshire,2015,729,1.783264746,13.443072699999998,84.77366255,98.21673525
New Hampshire,2016,731,1.504787962,13.54309166,84.95212038,98.49521204
New Hampshire,2017,731,1.504787962,13.54309166,85.08891929,98.49521204
New Jersey,2013,"4,139",2.319400821,12.63590239,85.04469679,97.65643875
New Jersey,2014,"4,272",2.34082397,12.66385768,84.97191011,97.63576779
New Jersey,2015,"4,271",2.271130883,13.34582065,84.40646219,97.75228284
New Jersey,2016,"4,044",1.8051434219999998,13.52621167,84.66864491,98.19485658
New Jersey,2017,"4,029",1.861504095,13.25390916,84.88458675,98.11367585
New Mexico,2013,858,2.331002331,15.03496503,82.63403263,97.66899767
New Mexico,2014,830,1.927710843,15.42168675,82.65060241,98.07228916
New Mexico,2015,807,1.982651797,15.73729864,82.4039653,98.0173482
New Mexico,2016,833,1.920768307,14.64585834,83.43337335,98.07923169
New Mexico,2017,845,2.01183432,13.96449704,84.02366864,97.98816568
New York,2013,"9,340",2.237687366,15.27837259,82.48394004,97.76231263
New York,2014,"9,353",1.977974981,14.63701486,83.38501016,98.02202502
New York,2015,"9,144",1.957567804,14.99343832,83.04899388,98.04243220000001
New York,2016,"9,163",1.7570664630000001,15.01691586,83.22601768,98.24293354
New York,2017,"9,197",1.50048929,14.54822225,83.94041535,98.48863759999999
North Carolina,2013,"3,931",2.264054948,15.18697532,82.54896973,97.73594505
North Carolina,2014,"3,840",2.03125,15.15625,82.78645833,97.94270833
North Carolina,2015,"3,790",1.688654354,15.64643799,82.69129288,98.31134565
North Carolina,2016,"3,712",1.535560345,15.19396552,83.27047414,98.46443966
North Carolina,2017,"3,772",1.8557794269999999,13.759278899999998,84.38494168,98.14422057
North Dakota,2013,346,1.734104046,19.65317919,78.61271676,98.26589595
North Dakota,2014,353,1.699716714,19.83002833,78.47025496,98.30028329
North Dakota,2015,360,1.6666666669999999,20.27777778,78.05555556,98.33333333
North Dakota,2016,370,1.621621622,18.91891892,79.45945946,98.37837838
North Dakota,2017,368,1.630434783,17.93478261,80.43478261,98.36956522
Northeast,2013,"27,304",2.146205684,14.55098154,83.29915031,97.85379432
Northeast,2014,"27,463",2.002694534,14.28467392,83.7162728,97.99730547
Northeast,2015,"27,037",1.923290306,14.55782816,83.51888153,98.07670969
Northeast,2016,"26,782",1.6802329919999999,14.52468076,83.79508625,98.31976701
Northeast,2017,"27,062",1.60372478,14.07878206,84.31379795,98.39627522
Ohio,2013,"5,199",2.135025967,14.94518177,82.93902674,97.8842085
Ohio,2014,"5,215",1.955896453,14.68839885,83.37488015,98.06327900000001
Ohio,2015,"5,109",1.8594636919999998,14.71912312,83.42141319,98.14053631
Ohio,2016,"5,052",1.603325416,14.46951702,83.92715756,98.39667458
Ohio,2017,"4,984",1.645264848,14.30577849,84.04895666,98.33467095
Oklahoma,2013,"1,482",2.091767881,16.32928475,81.64642375,97.90823212
Oklahoma,2014,"1,537",2.212101496,16.52569941,81.3272609,97.7878985
Oklahoma,2015,"1,460",2.1917808219999997,17.05479452,80.75342466,97.80821918
Oklahoma,2016,"1,352",1.99704142,16.49408284,81.50887574,97.92899408
Oklahoma,2017,"1,435",1.951219512,15.54006969,82.5087108,98.04878049
Oregon,2013,"1,917",1.930099113,13.30203443,84.71570162,98.06990089
Oregon,2014,"1,913",1.9864087819999998,13.59121798,84.42237324,98.01359122
Oregon,2015,"1,997",1.702553831,13.06960441,85.17776665,98.24737106
