State,12_or_Older,12_17,18_25,26_or_Older,18_or_Older
Total U.S.,"138,279","2,875","20,777","114,627","135,404"
Northeast,"27,463",550,"3,923","22,991","26,913"
Midwest,"31,066",609,"4,681","25,776","30,457"
South,"47,855","1,020","7,320","39,515","46,835"
West,"31,894",696,"4,853","26,345","31,198"
Alabama,"1,803",40,275,"1,488","1,763"
Alaska,313,6,50,257,307
Arizona,"2,846",65,425,"2,357","2,782"
Arkansas,"1,035",23,176,836,"1,012"
California,"16,204",370,"2,577","13,257","15,834"
Colorado,"2,698",58,388,"2,251","2,640"
Connecticut,"1,828",37,250,"1,541","1,791"
Delaware,441,7,64,370,434
District of Columbia,381,4,68,309,377
Florida,"8,917",170,"1,155","7,592","8,747"
Georgia,"3,980",89,596,"3,295","3,891"
Hawaii,566,11,83,472,556
Idaho,620,15,87,518,605
Illinois,"5,959",114,857,"4,988","5,846"
Indiana,"2,782",62,457,"2,263","2,720"
Iowa,"1,445",26,241,"1,178","1,419"
Kansas,"1,264",27,200,"1,038","1,237"
Kentucky,"1,548",31,259,"1,258","1,518"
Louisiana,"1,860",45,291,"1,524","1,815"
Maine,679,11,85,583,668
Maryland,"2,883",57,399,"2,427","2,826"
Massachusetts,"3,566",65,549,"2,952","3,501"
Michigan,"4,558",92,703,"3,763","4,466"
Minnesota,"2,660",45,370,"2,245","2,615"
Mississippi,"1,025",24,178,822,"1,001"
Missouri,"2,554",51,394,"2,108","2,502"
Montana,499,8,72,418,490
Nebraska,875,16,136,724,860
Nevada,"1,277",30,168,"1,079","1,246"
New Hampshire,734,15,100,620,720
New Jersey,"4,272",100,541,"3,630","4,171"
New Mexico,830,16,128,686,814
New York,"9,353",185,"1,369","7,799","9,168"
North Carolina,"3,840",78,582,"3,179","3,761"
North Dakota,353,6,70,277,347
Ohio,"5,215",102,766,"4,348","5,114"
Oklahoma,"1,537",34,254,"1,250","1,503"
Oregon,"1,913",38,260,"1,615","1,875"
Pennsylvania,"6,180",121,891,"5,168","6,058"
Rhode Island,520,10,86,425,510
South Carolina,"1,913",35,305,"1,572","1,878"
South Dakota,380,6,60,314,374
Tennessee,"2,335",47,371,"1,916","2,287"
Texas,"10,143",252,"1,689","8,202","9,892"
Utah,727,19,136,572,708
Vermont,332,6,53,273,326
Virginia,"3,607",70,556,"2,981","3,537"
Washington,"3,136",55,438,"2,643","3,080"
West Virginia,607,13,101,493,594
Wisconsin,"3,020",63,427,"2,530","2,958"
Wyoming,266,5,41,221,261
