State,year,Total # Polled,Ages 12-17,Ages 18-25,Ages 26+,Ages 18+,,,Ages 12-17,Ages 18-25,Ages 26+,Ages 18+
Minnesota,2017,"2,683",42,376,"2,264","2,640",,,1.565411852,14.01416325,84.38315319,98.39731644
Mississippi,2013,"1,036",29,192,816,"1,007",,,2.799227799,18.53281853,78.76447876,97.2007722
Mississippi,2014,"1,025",24,178,822,"1,001",,,2.341463415,17.36585366,80.19512195,97.65853659
Mississippi,2015,965,21,158,785,943,,,2.176165803,16.37305699,81.34715026,97.72020725
Mississippi,2016,903,19,155,730,884,,,2.104097453,17.16500554,80.84163898,97.89590255
Mississippi,2017,935,19,144,773,917,,,2.032085561,15.40106952,82.67379679,98.07486631
Missouri,2013,"2,584",59,398,"2,127","2,525",,,2.283281734,15.40247678,82.31424149,97.71671827
Missouri,2014,"2,554",51,394,"2,108","2,502",,,1.996867659,15.42678152,82.53719655,97.96397807
Missouri,2015,"2,562",46,390,"2,127","2,516",,,1.795472287,15.22248244,83.02107728,98.20452771
Missouri,2016,"2,602",47,385,"2,170","2,556",,,1.806302844,14.79631053,83.39738663,98.23212913
Missouri,2017,"2,587",51,360,"2,177","2,537",,,1.971395439,13.91573251,84.15152687,98.06725937
Montana,2013,506,10,73,423,496,,,1.976284585,14.42687747,83.59683794,98.02371542
Montana,2014,499,8,72,418,490,,,1.603206413,14.42885772,83.76753507,98.19639279
Montana,2015,499,7,69,423,492,,,1.402805611,13.82765531,84.76953908,98.59719439
Montana,2016,500,8,69,423,492,,,1.6,13.8,84.6,98.4
Montana,2017,505,10,71,425,496,,,1.98019802,14.05940594,84.15841584,98.21782178
Nebraska,2013,855,17,131,707,838,,,1.988304094,15.32163743,82.69005848,98.01169591
Nebraska,2014,875,16,136,724,860,,,1.828571429,15.54285714,82.74285714,98.28571429
Nebraska,2015,886,13,133,739,872,,,1.467268623,15.01128668,83.40857788,98.41986456
Nebraska,2016,915,14,133,768,901,,,1.530054645,14.53551913,83.93442623,98.46994536
Nebraska,2017,913,16,134,763,897,,,1.752464403,14.67688938,83.57064622,98.2475356
Nevada,2013,"1,255",28,168,"1,058","1,226",,,2.231075697,13.38645418,84.30278884,97.68924303
Nevada,2014,"1,277",30,168,"1,079","1,246",,,2.349256069,13.15583399,84.49490995,97.5724354
Nevada,2015,"1,259",30,164,"1,065","1,229",,,2.382843527,13.02621128,84.59094519,97.61715647
Nevada,2016,"1,237",28,153,"1,056","1,209",,,2.263540825,12.36863379,85.36782538,97.73645918
Nevada,2017,"1,195",22,142,"1,030","1,173",,,1.841004184,11.88284519,86.19246862,98.15899582
New Hampshire,2013,740,15,103,623,725,,,2.027027027,13.91891892,84.18918919,97.97297297
New Hampshire,2014,734,15,100,620,720,,,2.04359673,13.6239782,84.46866485,98.09264305
New Hampshire,2015,729,13,98,618,716,,,1.783264746,13.4430727,84.77366255,98.21673525
New Hampshire,2016,731,11,99,621,720,,,1.504787962,13.54309166,84.95212038,98.49521204
New Hampshire,2017,731,11,99,622,720,,,1.504787962,13.54309166,85.08891929,98.49521204
New Jersey,2013,"4,139",96,523,"3,520","4,042",,,2.319400821,12.63590239,85.04469679,97.65643875
