age_key,Country_Territory,On-premise,Off-premise,Notes,Legislation
153,Sudan,[all sale is prohibited],[all sale is prohibited],,"Penal Code 1991, Art 78-79"
154,Suriname,18,18,,Law 44 of 2015 on Further Amendment of the Criminal Code
155,Swaziland,18,18,,Liquor Licences Act of 1964 Sec 27
156,Sweden,18,[varies by beverage],"18 for beer of 3.5% ABV or lower, 20 otherwise",Alcohol Act (SFS 2010:1622) Cap 3 Art 7
157,Switzerland,[varies by beverage and jurisdiction],[varies by beverage and jurisdiction],18 for spirits 16 or 18 for beer and wine depending on the Canton,"Order on foodstuffs and consumer goods of 23 November 2005 Art. 11 Federal Law on Alcohol of 21 June 1932, as amended through 2011 Art. 41"
158,Syria,[none],[none],,[n/a]
159,Tajikistan,18,18,,Law 451 of 1997 on State Regulation of Production and Turnover of Ethyl Alcohol and Alcohol Products
160,Tanzania,18,18,,"Law No. 21 Law of the Child (2009), Article 17"
161,Thailand,20,20,,Alcohol Beverage Control Act B.E. 2551 Sec 29
162,Timor-Leste,[none],[none],,[n/a]
163,Togo,[none],[none],,[n/a]
164,Tonga,21,21,,Intoxicating Liquor Act Cap 84 Art 65 as amended in 2014
165,Trinidad and Tobago,18,18,,"Liquor Licences Act Cap 84:10 Art 60, as amended 2002"
166,Turkey,18,18,,Regulation about Retail Sale of Tobacco and Tobacco Products and Alcohol and Alcoholic Drinks 11 January 1998 Art 5
167,Turkmenistan,21,21,,Law on Prevention of the Harmful Impact of Alcohol Art 22
168,Uganda,18 *,18,"*16 for beer, wine, perry, porter, cider, or native liquor with a meal in a meal-service section of the premises",Liquor Act of 1960 Cap 93
169,Ukraine,18,18,,Law N 1824-VI 21 January 2010 Art 15-3
170,United Arab Emirates,[varies by religion and jurisdiction],[varies by religion and jurisdiction],,[n/a]
171,United Kingdom,18 *,18,"*16 for beer, cider, and wine with a meal and bought by and accompanied by an adult. This does not apply in Northern Ireland.",Licensing Act 2003 and Licensing (Scotland) Act 2005
172,United States,21 *,[varies by jurisdiction],"See the NIAAA Alcohol Policy Information System (APIS) for more details*18 for on-premise and off-premise sales in Puerto Rico (Law 118, 18 October 1984)",The National Minimum Drinking Age Act of 1984 (Title 23 U.S.C. §158)
173,Uruguay,18,18,,Code of Childhood and Adolescence
174,Uzbekistan,20,20,,Law 302 On restriction of Distribution and Taking of Alcohol and Tobacco Products 2011
175,Vanuatu,18,18,,Liquor Licensing Act Art 17
176,Venezuela,18,18,,Natural Law for the Protection of Children and Adolescents 5/266 1998
177,Vietnam,18,18,,Prime Minister's Decision 2044 QD-TTg: National Policy on Prevention of Harmful Use of Alcoholic Beverages 2014-2020
178,Yemen,[all sale is prohibited],[all sale is prohibited],,[n/a]
179,Zambia,[varies by beverage],[varies by beverage],on-premise: 18 for beverages of 3%ABV or higher except traditional beer; 16 for traditional beer on-premise: 14 for beverages of 3%ABV or higher except traditional beer; 16 for traditional beer,Liquor Licensing Act 20/2011 Traditional Beer Act and Regulations
180,Zimbabwe,18,18,,Liquor Act as amended in 2001
